epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.242,1.00939,1.90979,1.17417,0.96384,0.36765,0.86848,0.65442,0.85916,2.48113,0.88156,0.00048343,0.00048343,0.00048343
2,137.566,1.01025,1.13709,1.1512,0.8301,0.82759,0.89529,0.69505,0.82738,1.65684,0.93407,0.000951074,0.000951074,0.000951074
3,201.82,1.07354,1.11806,1.19808,0.70405,0.70345,0.70497,0.43866,1.15693,1.80992,1.13966,0.00138571,0.00138571,0.00138571
4,264.881,1.07948,1.06859,1.20315,0.60943,0.31724,0.35408,0.19385,1.65785,2.65916,1.61699,0.00150197,0.00150197,0.00150197
5,327.763,1.03833,1.00262,1.19268,0.6598,0.44138,0.5648,0.4032,0.92756,2.87498,1.0748,0.00144696,0.00144696,0.00144696
6,391.966,1.03283,0.95101,1.16668,0.93087,0.93103,0.97087,0.74696,0.83875,0.83847,1.05402,0.00139195,0.00139195,0.00139195
7,461.117,0.99537,0.89669,1.15163,0.93033,0.92091,0.95771,0.73393,0.77821,0.79642,1.02125,0.00133693,0.00133693,0.00133693
8,528.708,0.94412,0.83495,1.12886,0.8923,0.88276,0.93783,0.70891,0.85737,0.91087,1.06991,0.00128192,0.00128192,0.00128192
9,607.91,0.97847,0.88475,1.16771,0.97925,0.97633,0.99439,0.8226,0.71976,0.66795,0.96478,0.00122691,0.00122691,0.00122691
10,686.696,0.88767,0.80608,1.11539,0.94575,0.93793,0.96707,0.81384,0.64537,0.69135,0.94871,0.0011719,0.0011719,0.0011719
11,754.451,0.93165,0.79227,1.12547,0.97495,0.97931,0.9932,0.82371,0.73298,0.61195,0.99856,0.00111689,0.00111689,0.00111689
12,824.87,0.86374,0.72635,1.10101,0.98639,0.99981,0.99466,0.83228,0.66856,0.60213,0.94268,0.00106188,0.00106188,0.00106188
13,889.821,0.86302,0.73043,1.10774,0.9876,0.9931,0.99445,0.85114,0.62041,0.56566,0.93962,0.00100687,0.00100687,0.00100687
14,954.192,0.83285,0.73118,1.08768,0.99102,1,0.99445,0.84644,0.63119,0.56626,0.94705,0.000951857,0.000951857,0.000951857
15,1015.56,0.82835,0.70067,1.06677,0.99283,1,0.995,0.83063,0.67592,0.5047,0.95339,0.000896846,0.000896846,0.000896846
16,1082.67,0.78949,0.66213,1.06495,0.98914,0.98621,0.99453,0.83914,0.66725,0.56464,0.94933,0.000841835,0.000841835,0.000841835
17,1148.84,0.79186,0.65351,1.05307,0.99151,1,0.995,0.85391,0.58266,0.53392,0.90164,0.000786824,0.000786824,0.000786824
18,1214.79,0.81832,0.64217,1.07661,0.98026,0.9931,0.99423,0.86409,0.58677,0.46109,0.90784,0.000731813,0.000731813,0.000731813
19,1280.86,0.76498,0.63696,1.04504,0.99204,0.9931,0.99445,0.86588,0.55838,0.453,0.90276,0.000676802,0.000676802,0.000676802
20,1346.72,0.76417,0.62201,1.06586,0.99882,1,0.995,0.87166,0.52587,0.43011,0.89522,0.000621791,0.000621791,0.000621791
21,1410.35,0.59505,0.55664,0.96547,0.99064,1,0.99473,0.86801,0.53915,0.46341,0.88656,0.00056678,0.00056678,0.00056678
22,1472.08,0.57164,0.49382,0.94746,0.99955,1,0.995,0.88351,0.52331,0.45204,0.86349,0.000511769,0.000511769,0.000511769
23,1534.88,0.59037,0.48394,0.94049,0.99885,1,0.995,0.87596,0.50384,0.42161,0.87296,0.000456758,0.000456758,0.000456758
24,1597.52,0.55288,0.46757,0.94058,0.99945,1,0.995,0.88708,0.50065,0.39892,0.86006,0.000401747,0.000401747,0.000401747
25,1661.89,0.53746,0.44658,0.94667,0.99922,1,0.995,0.88838,0.51682,0.37659,0.8737,0.000346736,0.000346736,0.000346736
26,1724.34,0.54281,0.44932,0.9606,0.99314,1,0.995,0.90191,0.48173,0.36678,0.85974,0.000291725,0.000291725,0.000291725
27,1788.21,0.53118,0.43074,0.93267,0.99927,1,0.995,0.89741,0.46859,0.35765,0.85398,0.000236714,0.000236714,0.000236714
28,1853.98,0.50509,0.4107,0.90717,0.99862,1,0.995,0.90875,0.44473,0.34987,0.8521,0.000181703,0.000181703,0.000181703
29,1908.18,0.4941,0.40496,0.92105,0.99944,1,0.995,0.9049,0.44328,0.34262,0.84279,0.000126692,0.000126692,0.000126692
30,1962.67,0.45953,0.38248,0.90709,0.99947,1,0.995,0.91233,0.43809,0.33559,0.84114,7.1681e-05,7.1681e-05,7.1681e-05
