epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6601,1.54883,3.12931,1.53823,0.01013,0.86382,0.25429,0.13332,1.51213,3.23423,1.40246,0.00013336,0.00013336,0.00013336
2,73.2125,1.48192,2.31232,1.42648,0.98096,0.13302,0.2809,0.14187,1.58852,2.82854,1.36382,0.000255334,0.000255334,0.000255334
8,580.727,0.78626,0.76398,1.00618,0.99017,0.98621,0.99473,0.80262,0.7762,0.70625,0.90505,0.000511769,0.000511769,0.000511769
3,108.6,1.46191,1.73508,1.41476,0.98506,0.17087,0.31916,0.17928,1.63774,2.55048,1.39537,0.000347603,0.000347603,0.000347603
4,142.557,1.42768,1.55091,1.40342,0.94631,0.18421,0.29213,0.16007,1.62451,2.45739,1.43954,0.000410165,0.000410165,0.000410165
5,175.432,1.41889,1.54167,1.34885,0.95303,0.20308,0.47275,0.22547,1.69227,2.26252,1.46166,0.000443022,0.000443022,0.000443022
9,688.581,0.72957,0.71808,0.98476,0.96954,0.95172,0.98898,0.816,0.72632,0.70568,0.88818,0.000346736,0.000346736,0.000346736
6,209.334,1.34466,1.29328,1.29589,0.49407,0.3875,0.40117,0.20149,1.77979,2.03986,1.48861,0.000446173,0.000446173,0.000446173
7,243.011,1.34865,1.2888,1.29485,0.47267,0.34083,0.39123,0.19329,1.74167,1.88626,1.44761,0.000419617,0.000419617,0.000419617
8,277.129,1.29896,1.2621,1.25662,0.50507,0.33088,0.51513,0.26158,1.76485,1.89112,1.46932,0.000363356,0.000363356,0.000363356
9,310.28,1.31931,1.20056,1.25435,0.552,0.46827,0.4961,0.24646,1.7192,1.91045,1.49107,0.000277389,0.000277389,0.000277389
10,797.53,0.70986,0.68407,0.95601,1,0.99764,0.995,0.83768,0.65029,0.59772,0.85171,0.000181703,0.000181703,0.000181703
10,338.187,1.27327,1.17693,1.26275,0.53322,0.45132,0.50982,0.25723,1.68846,1.82529,1.46322,0.000161716,0.000161716,0.000161716
